agent_number,hat_number
0,57
1,7
2,13
3,57
4,20
5,6
6,39
7,48
8,61
9,48
10,21
11,44
12,59
13,1
14,10
15,10
16,56
17,30
18,16
19,24
20,68
21,19
22,19
23,34
24,36
25,37
26,50
27,17
28,72
29,71
30,47
31,54
32,71
33,68
34,24
35,6
36,48
37,2
38,8
39,4
40,49
41,20
42,5
43,15
44,53
45,50
46,55
47,20
48,3
49,48
50,49
51,11
52,55
53,47
54,59
55,65
56,19
57,53
58,3
59,0
60,50
61,45
62,39
63,36
64,69
65,49
66,65
67,71
68,70
69,5
70,42
71,8
72,19
73,10
74,72
75,25
76,20
77,13
78,6
79,29
80,71
81,31
82,24
83,33
84,20
85,33
86,1
87,57
88,25
89,68
90,0
91,8
92,72
93,45
94,71
95,42
96,39
97,6
98,49
99,15
