agent_number,hat_number
0,10
1,12
2,22
3,31
4,40
5,0
6,42
7,49
8,45
9,31
10,13
11,18
12,40
13,24
14,0
15,7
16,39
17,11
18,43
19,14
20,14
21,42
22,48
23,49
24,4
25,30
26,34
27,23
28,20
29,29
30,13
31,13
32,26
33,15
34,28
35,27
36,46
37,34
38,5
39,35
40,33
41,13
42,14
43,49
44,12
45,39
46,40
47,0
48,9
49,28
50,38
51,35
52,39
53,36
54,47
55,38
56,44
57,29
58,46
59,30
60,41
61,10
62,34
63,23
64,49
65,18
66,35
67,25
68,24
69,24
70,46
71,0
72,23
73,18
74,23
75,17
76,4
77,43
78,36
79,19
80,44
81,25
82,15
83,7
84,12
85,18
86,46
87,43
88,37
89,21
90,41
91,33
92,34
93,21
94,25
95,4
96,42
97,13
98,17
99,2
