agent_number,hat_number
0,56
1,197
2,597
3,139
4,338
5,360
6,350
7,734
8,215
9,514
10,672
11,474
12,453
13,737
14,271
15,168
16,133
17,590
18,722
19,688
20,148
21,355
22,513
23,477
24,736
25,543
26,38
27,482
28,324
29,594
30,10
31,261
32,312
33,494
34,262
35,627
36,433
37,23
38,394
39,633
40,445
41,395
42,330
43,31
44,383
45,498
46,407
47,644
48,609
49,188
50,14
51,391
52,350
53,562
54,620
55,254
56,412
57,199
58,216
59,488
60,523
61,343
62,417
63,180
64,529
65,396
66,570
67,180
68,527
69,79
70,151
71,508
72,576
73,100
74,697
75,680
76,59
77,639
78,516
79,417
80,616
81,575
82,224
83,294
84,652
85,742
86,313
87,190
88,408
89,649
90,461
91,66
92,508
93,740
94,125
95,452
96,346
97,63
98,704
99,334
100,127
101,370
102,138
103,692
104,550
105,47
106,148
107,58
108,36
109,4
110,493
111,138
112,202
113,195
114,160
115,217
116,34
117,286
118,700
119,137
120,746
121,261
122,487
123,6
124,496
125,555
126,346
127,143
128,271
129,317
130,298
131,165
132,386
133,689
134,536
135,161
136,256
137,478
138,358
139,655
140,655
141,436
142,245
143,521
144,710
145,95
146,369
147,723
148,565
149,392
150,151
151,343
152,56
153,14
154,528
155,19
156,279
157,436
158,444
159,168
160,567
161,729
162,644
163,413
164,204
165,195
166,455
167,153
168,471
169,234
170,183
171,530
172,128
173,30
174,512
175,671
176,66
177,524
178,435
179,665
180,29
181,118
182,699
183,373
184,326
185,86
186,253
187,95
188,696
189,197
190,561
191,707
192,278
193,244
194,505
195,12
196,315
197,585
198,237
199,212
200,338
201,519
202,22
203,139
204,193
205,572
206,582
207,7
208,210
209,22
210,497
211,261
212,573
213,162
214,535
215,160
216,605
217,72
218,66
219,679
220,630
221,545
222,747
223,550
224,526
225,166
226,554
227,224
228,175
229,415
230,515
231,460
232,222
233,547
234,712
235,492
236,204
237,110
238,597
239,99
240,9
241,493
242,594
243,741
244,717
245,10
246,213
247,682
248,3
249,738
250,327
251,671
252,382
253,256
254,604
255,675
256,195
257,595
258,392
259,616
260,51
261,505
262,361
263,127
264,184
265,6
266,294
267,125
268,18
269,90
270,51
271,276
272,690
273,712
274,21
275,299
276,288
277,443
278,527
279,306
280,694
281,239
282,173
283,520
284,79
285,14
286,253
287,148
288,378
289,659
290,303
291,21
292,636
293,69
294,101
295,15
296,484
297,597
298,660
299,95
300,376
301,3
302,387
303,539
304,497
305,206
306,273
307,364
308,103
309,196
310,362
311,324
312,107
313,625
314,644
315,57
316,720
317,397
318,274
319,484
320,422
321,157
322,19
323,160
324,410
325,438
326,651
327,78
328,101
329,192
330,292
331,635
332,695
333,231
334,313
335,394
336,648
337,166
338,300
339,406
340,660
341,461
342,191
343,656
344,226
345,168
346,344
347,407
348,519
349,1
350,444
351,531
352,531
353,585
354,627
355,654
356,32
357,251
358,397
359,328
360,700
361,737
362,273
363,288
364,626
365,493
366,525
367,80
368,132
369,331
370,161
371,56
372,540
373,455
374,128
375,743
376,700
377,741
378,536
379,188
380,605
381,136
382,561
383,680
384,83
385,746
386,36
387,342
388,691
389,739
390,365
391,67
392,560
393,581
394,84
395,686
396,485
397,528
398,186
399,74
400,131
401,510
402,368
403,728
404,619
405,34
406,449
407,231
408,541
409,155
410,675
411,504
412,674
413,699
414,677
415,635
416,267
417,544
418,184
419,12
420,320
421,692
422,448
423,463
424,666
425,184
426,516
427,726
428,497
429,53
430,259
431,582
432,18
433,476
434,354
435,635
436,107
437,379
438,119
439,42
440,414
441,688
442,494
443,186
444,706
445,698
446,341
447,514
448,445
449,56
450,158
451,218
452,86
453,652
454,54
455,318
456,301
457,638
458,275
459,218
460,317
461,264
462,709
463,405
464,348
465,112
466,717
467,611
468,661
469,23
470,178
471,540
472,52
473,559
474,654
475,645
476,474
477,587
478,255
