agent_number,hat_number
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,1
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,1
308,0
309,0
310,0
311,1
312,1
313,0
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,0
509,1
510,0
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,1
520,0
521,1
522,1
523,1
524,0
525,0
526,0
527,0
528,1
529,0
530,1
531,1
532,0
533,0
534,0
535,0
536,1
537,1
538,1
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,0
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,0
562,0
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,0
571,1
572,0
573,0
574,1
575,1
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,0
586,1
587,0
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,1
612,0
613,0
614,1
615,0
616,0
617,1
618,1
619,1
620,0
621,1
622,0
623,0
624,0
625,1
626,0
627,1
628,1
629,0
630,1
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,1
659,1
660,0
661,1
662,1
663,0
664,1
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,0
693,0
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,1
721,1
722,0
723,0
724,0
725,1
726,1
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,1
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,1
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,1
777,0
778,1
779,1
780,0
781,1
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,1
790,0
791,0
792,1
793,0
794,0
795,0
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,1
806,1
807,0
808,0
809,1
810,1
811,1
812,0
813,0
814,1
815,0
816,1
817,1
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,0
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,0
835,0
836,1
837,1
838,0
839,0
840,0
841,1
842,1
843,1
844,0
845,0
846,1
847,1
848,1
849,1
850,0
851,0
852,1
853,0
854,0
855,1
856,0
857,1
858,0
859,0
860,0
861,0
862,0
863,1
864,1
865,1
866,1
867,0
868,0
869,1
870,0
871,1
872,1
873,1
874,0
875,0
876,0
877,0
878,1
879,1
880,0
881,0
882,1
883,1
884,1
885,1
886,1
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,1
896,0
897,1
898,1
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,1
907,1
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,1
919,0
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,1
929,1
930,0
931,1
932,1
933,0
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,1
944,0
945,0
946,1
947,1
948,1
949,1
950,0
951,0
952,0
953,1
954,0
955,1
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,1
966,0
967,0
968,0
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,0
977,0
978,1
979,0
980,0
981,1
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,1
991,0
992,0
993,1
994,1
995,0
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,1
1031,1
1032,1
1033,1
1034,0
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,1
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,1
1073,0
1074,0
1075,0
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,0
1085,1
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,0
1093,0
1094,0
1095,0
1096,1
1097,1
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,0
1106,0
1107,1
1108,0
1109,0
1110,0
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,1
1120,0
1121,1
1122,1
1123,1
1124,0
1125,1
1126,1
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,1
1134,0
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,1
1143,0
1144,0
1145,0
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,0
1158,0
1159,0
1160,0
1161,1
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,0
1169,0
1170,1
1171,1
1172,1
1173,1
1174,0
1175,0
1176,1
1177,0
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,1
1189,1
1190,0
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,1
1222,0
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
1229,1
