agent_number,hat_number
0,161
1,277
2,102
3,266
4,492
5,51
6,168
7,279
8,286
9,210
10,182
11,134
12,387
13,131
14,399
15,7
16,156
17,25
18,299
19,47
20,444
21,113
22,486
23,141
24,346
25,195
26,138
27,473
28,350
29,171
30,325
31,103
32,367
33,340
34,279
35,75
36,472
37,153
38,435
39,335
40,472
41,6
42,93
43,305
44,150
45,412
46,377
47,423
48,338
49,441
50,229
51,112
52,167
53,143
54,122
55,2
56,442
57,285
58,304
59,18
60,372
61,479
62,368
63,49
64,143
65,426
66,336
67,267
68,133
69,335
70,339
71,118
72,389
73,215
74,491
75,347
76,494
77,499
78,390
79,180
80,278
81,350
82,159
83,339
84,373
85,337
86,316
87,366
88,87
89,260
90,342
91,175
92,188
93,427
94,351
95,11
96,312
97,19
98,129
99,448
100,360
101,495
102,245
103,50
104,326
105,355
106,116
107,58
108,206
109,399
110,323
111,457
112,32
113,25
114,369
115,204
116,304
117,172
118,293
119,154
120,124
121,155
122,226
123,370
124,289
125,367
126,48
127,33
128,30
129,51
130,251
131,115
132,309
133,325
134,430
135,271
136,479
137,68
138,129
139,244
140,301
141,6
142,247
143,244
144,236
145,262
146,69
147,101
148,28
149,217
150,488
151,99
152,453
153,45
154,266
155,296
156,451
157,337
158,221
159,441
160,396
161,235
162,35
163,63
164,296
165,455
166,57
167,18
168,61
169,21
170,84
171,19
172,41
173,242
174,302
175,379
176,177
177,116
178,269
179,320
180,248
181,475
182,413
183,59
184,116
185,350
186,230
187,26
188,208
189,370
190,180
191,429
192,442
193,382
194,301
195,206
196,477
197,19
198,209
199,58
200,63
201,12
202,320
203,243
204,46
205,268
206,50
207,159
208,305
209,316
210,295
211,97
212,363
213,394
214,37
215,350
216,460
217,54
218,210
219,160
220,457
221,33
222,414
223,6
224,107
225,22
226,408
227,288
228,490
229,447
230,207
231,343
232,409
233,426
234,370
235,283
236,311
237,348
238,355
239,324
240,186
241,465
242,418
243,211
244,475
245,270
246,482
247,414
248,260
249,355
250,51
251,382
252,125
253,344
254,77
255,302
256,42
257,414
258,433
259,11
260,494
261,148
262,293
263,361
264,347
265,429
266,21
267,81
268,434
269,193
270,145
271,152
272,196
273,137
274,103
275,217
276,460
277,244
278,317
279,142
280,440
281,245
282,188
283,96
284,2
285,428
286,224
287,245
288,364
289,25
290,355
291,7
292,217
293,498
294,199
295,210
296,373
297,435
298,153
299,48
300,245
301,241
302,471
303,493
304,490
305,271
306,187
307,201
308,156
309,426
310,199
311,211
312,38
313,195
314,130
315,129
316,417
317,117
318,407
319,287
320,420
321,250
322,320
323,425
324,469
325,41
326,295
327,261
328,390
329,43
330,241
331,321
332,291
333,309
334,278
335,362
336,374
337,266
338,405
339,458
340,54
341,85
342,91
343,471
344,288
345,92
346,431
347,483
348,321
349,102
350,45
351,304
352,152
353,42
354,348
355,85
356,429
357,29
358,89
359,441
360,486
361,115
362,491
363,362
364,400
365,288
366,29
367,197
368,8
369,0
370,496
371,296
372,72
373,183
374,461
375,329
376,117
377,421
378,111
379,1
380,307
381,403
382,19
383,494
384,436
385,145
386,51
387,424
388,478
389,2
390,426
391,434
392,103
393,190
394,474
395,47
396,365
397,439
398,451
399,289
400,123
401,302
402,267
403,297
404,4
405,2
406,97
407,247
408,119
409,485
410,403
411,499
412,274
413,422
414,431
415,360
416,227
417,233
418,472
419,139
420,264
421,308
422,478
423,368
424,478
425,149
426,371
427,291
428,105
429,180
430,483
431,453
432,313
433,341
434,5
435,120
436,332
437,264
438,430
439,410
440,394
441,141
442,26
443,483
444,163
445,140
446,317
447,446
448,18
449,29
450,93
451,290
452,78
453,211
454,179
455,28
456,172
457,442
458,198
459,315
460,338
461,74
462,431
463,375
464,398
465,116
466,339
467,107
468,87
469,204
470,19
471,470
472,213
473,473
474,146
475,123
476,190
477,431
478,159
479,58
480,310
481,421
482,1
483,297
484,249
485,181
486,344
487,76
488,219
489,294
490,417
491,40
492,265
493,127
494,130
495,209
496,388
497,435
498,72
499,76
500,241
501,44
502,477
503,438
504,294
505,58
506,319
507,475
508,4
509,73
510,269
511,320
512,495
513,291
514,184
515,353
516,199
517,410
518,348
519,153
520,407
521,463
