agent_number,hat_number
0,6595
1,1563
2,7186
3,4969
4,3281
5,4087
6,1272
7,3441
8,7014
9,1613
10,3123
11,820
12,4835
13,3413
14,7263
15,7110
16,6028
17,4654
18,4866
19,572
20,3666
21,888
22,2323
23,5749
24,1856
25,2116
26,1207
27,5751
28,997
29,4209
30,2736
31,3068
32,4172
33,58
34,89
35,404
36,5466
37,4865
38,4429
39,6154
40,2571
41,5391
42,4847
43,3376
44,529
45,1172
46,5586
47,4610
48,914
49,4354
50,4025
51,1260
52,3476
53,1249
54,2917
55,813
56,6050
57,4126
58,4197
59,439
60,2475
61,1761
62,6713
63,4310
64,3671
65,4354
66,1820
67,5315
68,6708
69,6329
70,6676
71,2360
72,5739
73,3828
74,2256
75,6162
76,73
77,916
78,913
79,5814
80,3793
81,4570
82,2776
83,5259
84,4158
85,285
86,1339
87,2621
88,6612
89,4678
90,6706
91,5612
92,931
93,3387
94,7034
95,2298
96,1050
97,6556
98,758
99,4677
100,2076
101,2399
102,3735
103,3931
104,7465
105,5741
106,132
107,1999
108,4858
109,6760
110,4688
111,5538
112,404
113,2856
114,1346
115,1987
116,4257
117,4922
118,2479
119,4382
120,2813
121,3873
122,1356
123,4381
124,2004
125,707
126,3509
127,7022
128,2555
129,6924
130,2852
131,2083
132,1113
133,2256
134,1883
135,3310
136,4777
137,2901
138,5160
139,2504
140,1061
141,6792
142,1791
143,5884
144,4245
145,5637
146,2223
147,2383
148,4862
149,3197
150,6084
151,6006
152,6441
153,7193
154,6156
155,5656
156,5883
157,6452
158,233
159,3460
160,2950
161,4616
162,6306
163,2899
164,3953
165,2784
166,5893
167,6444
168,2399
169,7045
170,1064
171,922
172,3888
173,1159
174,690
175,6175
176,432
177,1509
178,3398
179,239
180,1771
181,5087
182,5811
183,124
184,3929
185,7494
186,4169
187,3942
188,1160
189,6955
190,5208
191,2796
192,858
193,712
194,546
195,1239
196,2249
197,4805
198,1558
199,2518
200,6002
201,2548
202,5366
203,2704
204,4886
205,3734
206,3179
207,461
208,2158
209,3540
210,204
211,6481
212,65
213,1836
214,6434
