agent_number,hat_number
0,92
1,139
2,77
3,87
4,144
5,166
6,48
7,200
8,5
9,18
10,67
11,137
12,73
13,49
14,36
15,137
16,224
17,36
18,146
19,181
20,60
21,227
22,99
23,191
24,143
25,228
26,163
27,108
28,193
29,10
30,202
31,86
32,38
33,34
34,234
35,21
36,87
37,180
38,60
39,81
40,115
41,130
42,211
43,92
44,147
45,216
46,82
47,187
48,158
49,104
50,196
51,116
52,88
53,223
54,96
55,149
56,133
57,128
58,122
59,8
60,41
61,180
62,245
63,0
64,87
65,95
66,150
67,3
68,249
69,42
70,120
71,232
72,250
73,10
74,111
75,183
76,131
77,196
78,94
79,109
80,245
81,205
82,145
83,9
84,223
85,34
86,146
87,78
88,99
89,242
90,70
91,223
92,102
93,231
94,50
95,140
96,227
97,152
98,228
99,217
100,194
101,249
102,160
103,91
104,234
105,240
106,114
107,137
108,105
109,216
110,248
111,145
112,109
113,187
114,231
115,131
116,114
117,170
118,104
119,50
120,107
121,207
122,2
123,46
124,163
125,110
126,119
127,172
128,93
129,87
130,7
131,80
132,52
133,100
134,15
135,164
136,108
137,197
138,178
139,144
140,62
141,84
142,29
143,55
144,213
145,226
146,180
147,205
148,39
149,72
150,121
151,187
152,111
153,170
154,114
155,122
156,183
157,73
158,231
159,155
160,217
161,250
162,56
163,36
164,246
165,248
166,138
167,190
168,199
169,231
170,137
171,153
172,78
173,57
174,212
175,221
176,76
177,184
178,233
179,130
180,178
181,76
182,11
183,66
184,50
185,170
186,56
187,13
188,52
189,224
190,38
191,213
192,201
193,91
194,56
195,69
196,237
197,191
198,153
199,166
200,102
201,242
202,49
203,238
204,27
205,129
206,91
207,76
208,29
209,187
210,197
211,189
212,151
213,48
214,74
215,80
216,102
217,195
218,8
219,1
220,60
221,72
222,49
223,244
224,174
225,89
226,100
227,5
228,8
229,117
230,72
231,99
232,236
233,240
234,21
235,92
236,168
237,115
238,185
239,177
240,201
241,88
242,101
243,6
244,79
245,59
246,105
247,35
248,204
249,42
250,244
251,176
252,35
253,55
254,174
255,192
256,186
257,159
258,88
259,215
260,236
261,104
262,243
263,204
264,115
265,116
266,48
267,192
268,241
269,93
270,43
271,54
272,17
273,126
274,241
275,131
276,168
277,117
278,134
279,236
280,194
281,132
282,154
283,179
284,205
285,206
286,105
287,135
288,1
289,150
290,195
291,176
292,116
293,199
294,188
295,185
296,36
297,166
298,165
299,194
300,110
301,73
302,134
303,95
304,191
305,247
306,3
307,92
308,184
309,149
310,161
311,189
312,0
313,71
314,33
315,166
316,44
317,173
318,182
319,158
320,240
321,58
322,243
323,118
324,214
325,145
326,202
327,100
328,232
329,106
330,163
