agent_number,hat_number
0,24938
1,61917
2,44137
3,4653
4,56803
5,68
6,79544
7,4626
8,30400
9,48320
10,75502
11,61905
12,77211
13,92525
14,26172
15,55181
16,28708
17,47865
18,15746
19,53660
20,60482
21,52116
22,81408
23,81207
24,63538
25,44375
26,76473
27,81255
28,44484
29,74986
30,85649
31,83015
32,36311
33,80382
34,75446
35,20820
36,53457
37,87465
38,82393
39,22691
40,67422
41,16408
42,69415
43,77717
44,86990
45,8627
46,87722
47,26523
48,86066
49,22036
50,51247
51,84848
52,95546
53,60117
54,48393
55,83268
56,24668
57,24940
58,71366
59,33780
60,43271
61,39558
62,57334
63,94422
64,42885
65,30338
66,1123
67,27995
68,69154
69,80184
70,16519
71,52345
72,79545
73,8276
74,67753
75,18400
76,85334
77,58647
78,45165
79,82676
80,84167
81,85983
82,28537
83,26895
84,78565
85,76509
86,3055
87,57510
88,89812
89,29518
90,11344
91,14836
92,91490
93,80121
94,20944
95,30584
96,85539
97,84664
98,65253
99,14054
100,59623
101,87984
102,68269
103,94924
104,26628
105,66803
106,64738
107,48618
108,74522
109,11675
110,77151
111,3063
112,96154
113,30638
114,87164
115,40225
116,28202
117,45302
118,70176
119,48531
120,73018
121,79370
122,89167
123,77229
124,87011
125,82510
126,77163
127,97604
128,96398
129,18451
130,57263
131,43383
132,47335
133,42496
134,85752
135,55665
136,12209
137,59655
138,20135
139,26174
140,72902
141,81592
142,34858
143,44931
144,70673
145,39121
146,95813
147,73049
148,98688
149,93180
150,40154
151,61232
152,80121
153,46350
154,27105
155,31385
156,80804
157,56128
158,27207
159,77525
160,85521
161,40364
162,77959
163,93032
164,44081
165,20170
166,66483
167,17425
168,12609
169,89073
170,12205
171,50877
172,55094
173,95222
174,5891
175,82004
176,60661
177,12742
178,24395
179,82280
180,15960
181,26078
182,47352
183,91385
184,72249
185,82755
186,68594
187,64726
188,31677
189,63562
190,20988
191,99661
192,73577
193,41949
194,27796
195,18038
196,78002
197,88569
198,84766
199,69859
200,47363
201,18463
202,6636
203,90950
204,41095
205,50182
206,83973
207,24249
208,50241
209,74049
210,6629
211,62758
212,2931
213,303
214,62059
215,19295
216,45628
217,32950
218,21580
219,19650
220,59650
221,89208
222,88869
223,29513
224,16846
225,47943
226,29202
227,50673
228,60699
229,20479
230,38024
231,59778
232,47011
233,18906
234,29503
235,81111
236,10602
237,78718
238,95963
239,25375
240,66303
241,37615
242,10481
243,52372
244,37746
245,83280
246,80264
247,34944
248,50871
249,90653
250,55314
251,19507
252,49965
253,91359
254,63242
255,68895
256,95802
257,81949
258,16032
259,51123
260,16520
261,80658
262,47294
263,16895
264,76018
265,97327
266,72779
267,94178
268,92742
269,89975
270,7548
271,17385
272,50272
273,93759
274,68096
275,38063
276,77281
277,90547
278,75823
279,83702
280,37845
281,37106
282,28051
283,9558
284,64307
285,30122
286,31135
287,26154
288,90821
289,66479
290,81495
291,25526
292,95330
293,9692
294,8821
295,27448
296,8741
297,49759
298,7005
299,92990
300,1059
301,34318
302,95787
303,9417
304,24209
305,49739
306,65743
307,83774
308,43703
309,40145
310,28458
311,98232
312,11901
313,39011
314,7358
315,22834
316,9041
317,55984
318,34595
319,97991
320,95970
321,8255
322,54202
323,20461
324,16973
325,41124
326,82241
327,58791
328,4969
329,61694
330,49870
331,96371
332,49256
333,73658
334,72159
335,66798
336,12618
337,816
338,51428
339,87975
340,72163
341,52119
342,73231
343,56911
344,47012
345,22970
346,97771
347,9290
348,95064
349,44036
350,34862
351,48173
352,7234
353,56310
354,78910
355,29438
356,3472
357,24699
358,40458
359,85578
360,52332
361,46388
362,21643
363,81937
364,33238
365,55215
366,51580
367,4276
368,34465
369,3468
370,16175
371,19891
372,70854
373,19723
374,77764
375,34259
376,12454
377,24631
