agent_number,hat_number
0,2041
1,2445
2,283
3,718
4,1471
5,941
6,43
7,114
8,2094
9,2360
10,268
11,1700
12,2116
13,690
14,1064
15,317
16,1863
17,844
18,2410
19,92
20,1811
21,139
22,2379
23,1828
24,1049
25,1623
26,565
27,2037
28,1082
29,555
30,1971
31,997
32,81
33,2034
34,873
35,527
36,1737
37,1533
38,2463
39,376
40,1377
41,734
42,836
43,1259
44,706
45,181
46,673
47,1515
48,800
49,31
50,1272
51,826
52,2490
53,1404
54,1504
55,1476
56,510
57,1263
58,378
59,513
60,558
61,913
62,764
63,129
64,1466
65,1609
66,1349
67,918
68,2389
69,476
70,124
71,1612
72,967
73,1605
74,924
75,899
76,1319
77,856
78,1768
79,438
80,1782
81,2034
82,1598
83,2046
84,1642
85,1623
86,1012
87,1142
88,303
89,502
90,1041
91,554
92,923
93,710
94,716
95,1098
96,541
97,991
98,1725
99,1529
100,1635
101,1400
102,1990
103,1536
104,188
105,88
106,272
107,976
108,7
109,1165
110,226
111,1137
112,1496
113,1542
114,666
115,2298
116,2356
117,1064
118,13
119,2441
120,1555
121,1632
122,1415
123,140
124,2008
125,1364
126,1491
127,222
128,1019
129,2155
130,2391
131,817
132,1353
133,95
134,1180
135,788
136,374
137,276
138,1627
139,702
140,1006
141,222
142,2123
143,1055
144,710
145,313
146,788
147,2214
148,2323
149,1951
150,457
151,2360
152,479
153,1378
154,1923
155,1688
156,2146
157,1131
158,1438
159,1775
160,642
161,306
162,39
163,2330
164,1835
165,1552
166,1947
167,1618
168,194
169,272
170,147
171,705
172,407
173,1532
174,2186
175,341
176,68
177,2225
178,661
179,350
180,1680
181,1981
182,200
183,1182
184,2279
185,1394
186,650
187,252
188,895
189,669
190,1177
191,1337
192,2279
193,761
194,2378
195,2290
196,1889
197,2313
198,1414
199,55
200,1075
201,753
202,1783
203,354
204,1333
205,1377
206,2417
207,1561
208,1982
209,1843
210,1387
211,2353
212,1035
213,264
214,378
215,430
216,748
217,1721
218,2315
